asin,ISBN10,title,brand,availability,discount,initial_price,final_price,currency,rating,reviews_count,categories,best_sellers_rank,timestamp,url
0007350813,0007350813,Wuthering Heights (Collins Classics),Emily Brontë,In Stock.,,,3.99,USD,4.6 out of 5 stars,13451,"[""Books"",""Literature & Fiction"",""Genre Fiction""]","[{""category"":""Books / Literature & Fiction / Historical Fiction / Short Stories & Anthologies"",""rank"":28},{""category"":""Books / Literature & Fiction / Historical Fiction / Short Stories & Anthologies / Short Stories"",""rank"":24}]",2021-12-21T23:35:40.084Z,https://www.amazon.com/dp/0007350813
0007513763,9780007513765,THE DAYS THE CRAYONS QUIT,Drew Daywalt,In Stock.,,,12.08,USD,4.8 out of 5 stars,16628,"[""Books"",""Children's Books"",""Literature & Fiction""]","[{""category"":""Books / Children's Books / Literature & Fiction / Religious Fiction / Christian / Friendship"",""rank"":42}]",2021-12-21T23:23:16.450Z,https://www.amazon.com/dp/0007513763
0008183988,0008183988,War Lord: Book 13 (The Last Kingdom Series),Bernard Cornwell,,,,,USD,4.8 out of 5 stars,11275,"[""Books"",""Literature & Fiction"",""Genre Fiction""]","[{""category"":""Books / Literature & Fiction / Historical Fiction / Military"",""rank"":70}]",2021-12-21T23:23:19.996Z,https://www.amazon.com/dp/0008183988
0008305838,0008305838,Code Name Bananas: The hilarious and epic new children’s book from multi-million bestselling author David Walliams,David Walliams,In Stock.,,,20.43,USD,4.8 out of 5 stars,15520,"[""Books"",""Children's Books"",""Literature & Fiction""]","[{""category"":""Books / Children's Books / Literature & Fiction / Historical Fiction / Military & Wars"",""rank"":99}]",2021-12-21T23:23:17.540Z,https://www.amazon.com/dp/0008305838
0008375526,0008375526,Skincare: The award-winning ultimate no-nonsense guide and Sunday Times No. 1 best-seller,Caroline Hirons,In Stock.,,,28.89,USD,4.8 out of 5 stars,10884,"[""Books"",""Crafts, Hobbies & Home"",""Home Improvement & Design""]","[{""category"":""Books / Health, Fitness & Dieting / Beauty, Grooming, & Style"",""rank"":57},{""category"":""Books / Health, Fitness & Dieting / Aging / Beauty, Grooming & Style"",""rank"":3},{""category"":""Books / Health, Fitness & Dieting / Aging / Medical Conditions & Diseases"",""rank"":11},{""category"":""Books / Health, Fitness & Dieting / Diseases & Physical Ailments / Skin Ailments"",""rank"":9},{""category"":""Books / Health, Fitness & Dieting / Women's Health / General"",""rank"":82}]",2021-12-21T23:35:39.675Z,https://www.amazon.com/dp/0008375526
0008387753,0008387753,The Hobbit & The Lord of the Rings Boxed Set,J. R. R. Tolkien,Only 13 left in stock - order soon.,18.87,59.99,41.12,USD,4.8 out of 5 stars,20453,"[""Books"",""Literature & Fiction"",""Mythology & Folk Tales""]","[{""category"":""Books / Literature & Fiction / Mythology & Folk Tales / Fairy Tales"",""rank"":45}]",2021-12-21T23:23:19.408Z,https://www.amazon.com/dp/0008387753
0008433941,0008433941,The Silmarillion,J. R. R. Tolkien,Usually ships within 6 to 10 days.,,,36.11,USD,4.7 out of 5 stars,10261,"[""Books"",""Literature & Fiction"",""Genre Fiction""]","[{""category"":""Books / Literature & Fiction / Mythology & Folk Tales / Fairy Tales"",""rank"":60}]",2021-12-21T23:23:19.359Z,https://www.amazon.com/dp/0008433941
0060244887,0060244887,The Chronicles of Narnia (Box Set),C. S. Lewis,Only 12 left in stock - order soon.,66.01,120.0,53.99,USD,4.8 out of 5 stars,11222,"[""Books"",""Children's Books"",""Literature & Fiction""]","[{""category"":""Books / Deals in Books"",""rank"":7},{""category"":""Books / Children's Books / Literature & Fiction / Religious Fiction"",""rank"":31},{""category"":""Books / Children's Books / Classics"",""rank"":92},{""category"":""Books / Christian Books & Bibles / Children's & Teens"",""rank"":59},{""category"":""Books / Children's Books / Literature & Fiction / Religious Fiction / Christian"",""rank"":28},{""category"":""Books / Children's Books / Religions / Christianity"",""rank"":52}]",2021-12-21T23:35:37.401Z,https://www.amazon.com/dp/0060244887
0060254920,0060254920,Where the Wild Things Are,Maurice Sendak,In Stock.,6.75,19.95,13.2,USD,4.9 out of 5 stars,27536,"[""Books"",""Children's Books"",""Science Fiction & Fantasy""]","[{""category"":""Books / Children's Books / Action & Adventure"",""rank"":31},{""category"":""Books / Children's Books / Classics"",""rank"":21},{""category"":""Books / Children's Books / Science Fiction & Fantasy"",""rank"":34},{""category"":""Books / Children's Books / Science Fiction & Fantasy / Fantasy & Magic"",""rank"":23}]",2021-12-21T23:35:38.391Z,https://www.amazon.com/dp/0060254920
0060256656,0060256656,The Giving Tree,Shel Silverstein,In Stock.,8.9,17.99,9.09,USD,4.9 out of 5 stars,23158,"[""Books"",""Children's Books"",""Classics""]","[{""category"":""Books / Children's Books / Classics"",""rank"":31}]",2021-12-21T23:35:54.850Z,https://www.amazon.com/dp/0060256656
